area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
3630,3,3,2,no,yes,no,no,no,0,no,unfurnished
2800,3,1,1,yes,no,no,no,no,0,no,unfurnished
2430,3,1,1,no,no,no,no,no,0,no,unfurnished
3480,2,1,1,yes,no,no,no,no,1,no,semi-furnished
4000,3,1,1,yes,no,no,no,no,0,no,semi-furnished
3185,2,1,1,yes,no,no,no,yes,0,no,unfurnished
4000,3,1,2,yes,no,no,no,yes,0,no,unfurnished
2910,2,1,1,no,no,no,no,no,0,no,unfurnished
3600,2,1,1,yes,no,no,no,no,0,no,unfurnished
4400,2,1,1,yes,no,no,no,no,0,no,unfurnished
3600,2,2,2,yes,no,yes,no,no,1,no,furnished
2880,3,1,1,no,no,no,no,no,0,no,unfurnished
3180,3,1,1,no,no,no,no,no,0,no,unfurnished
3000,2,1,2,yes,no,no,no,no,0,no,furnished
4400,3,1,2,yes,no,no,no,no,0,no,unfurnished
3000,3,1,2,no,no,no,no,no,0,no,semi-furnished
3210,3,1,2,yes,no,yes,no,no,0,no,unfurnished
3240,2,1,1,no,yes,no,no,no,1,no,unfurnished
3000,2,1,1,yes,no,no,no,no,1,no,unfurnished
3500,2,1,1,yes,yes,no,no,no,0,no,unfurnished
4840,2,1,2,yes,no,no,no,no,0,no,unfurnished
7700,2,1,1,yes,no,no,no,no,0,no,unfurnished
3635,2,1,1,no,no,no,no,no,0,no,unfurnished
2475,3,1,2,yes,no,no,no,no,0,no,furnished
2787,4,2,2,yes,no,no,no,no,0,no,furnished
3264,2,1,1,yes,no,no,no,no,0,no,unfurnished
3640,2,1,1,yes,no,no,no,no,0,no,unfurnished
3180,2,1,1,yes,no,no,no,no,0,no,unfurnished
1836,2,1,1,no,no,yes,no,no,0,no,semi-furnished
3970,1,1,1,no,no,no,no,no,0,no,unfurnished
3970,3,1,2,yes,no,yes,no,no,0,no,unfurnished
1950,3,1,1,no,no,no,yes,no,0,no,unfurnished
5300,3,1,1,no,no,no,no,yes,0,yes,unfurnished
3000,2,1,1,no,no,no,no,no,0,no,unfurnished
2400,3,1,2,yes,no,no,no,no,0,no,unfurnished
3000,4,1,2,yes,no,no,no,no,0,no,unfurnished
3360,2,1,1,yes,no,no,no,no,1,no,unfurnished
3420,5,1,2,no,no,no,no,no,0,no,unfurnished
1700,3,1,2,yes,no,no,no,no,0,no,unfurnished
3649,2,1,1,yes,no,no,no,no,0,no,unfurnished
2990,2,1,1,no,no,no,no,no,1,no,unfurnished
3000,2,1,1,yes,no,yes,no,no,2,no,unfurnished
2400,3,1,1,no,no,no,no,no,0,no,semi-furnished
3620,2,1,1,yes,no,no,no,no,0,no,unfurnished
2910,3,1,1,no,no,no,no,no,0,no,furnished
3850,3,1,2,yes,no,no,no,no,0,no,unfurnished
